text,label
"Saya merasa sangat sedih dan tidak berdaya.",1
"Tidak ada yang peduli padaku, aku merasa sangat kesepian.",1
"Semua terasa hampa dan tidak bermakna.",1
"Aku sering menangis tanpa alasan yang jelas.",1
"Rasanya seperti dunia ini tidak adil padaku.",1
"Aku sering merasa cemas tanpa alasan yang jelas.",1
"Tidurku selalu terganggu oleh mimpi buruk.",1
"Aku merasa tidak berharga dan tidak berguna.",1
"Kehidupan ini terasa sangat berat bagiku.",1
"Aku merasa tidak ada jalan keluar dari masalahku.",1
"Rasanya seperti aku tidak bisa menikmati apa pun lagi.",1
"Aku selalu merasa tegang dan tidak bisa rileks.",1
"Aku kehilangan minat pada hal-hal yang biasanya aku sukai.",1
"Aku merasa terjebak dalam lingkaran kesedihan.",1
"Aku sering merasa sangat marah tanpa alasan.",1
"Aku merasa seperti beban bagi orang lain.",1
"Tidak ada hal yang membuatku bahagia.",1
"Aku sering merasa lelah meskipun tidak melakukan apa-apa.",1
"Aku merasa sangat gugup setiap kali harus berinteraksi dengan orang lain.",1
"Aku sering berpikir untuk mengakhiri hidupku.",1
"Aku merasa tidak ada yang memahami perasaanku.",1
"Aku sering merasa sangat gelisah dan tidak tenang.",1
"Aku merasa sangat rendah diri dan tidak percaya diri.",1
"Aku sering merasa cemas tentang masa depan.",1
"Rasanya seperti aku tidak punya kontrol atas hidupku.",1
"Aku merasa sangat bersalah atas hal-hal yang tidak bisa aku kendalikan.",1
"Aku sering merasa sangat putus asa.",1
"Aku merasa seperti tidak ada yang mengerti diriku.",1
"Aku selalu merasa sangat tertekan.",1
"Aku sering merasa sangat khawatir tentang hal-hal kecil.",1
"Aku merasa sangat pesimis tentang hidupku.",1
"Aku sering merasa sangat terisolasi dari orang lain.",1
"Aku merasa sangat takut menghadapi kehidupan sehari-hari.",1
"Aku merasa sangat lemah dan tidak berdaya.",1
"Aku merasa seperti semua orang lebih baik dariku.",1
"Aku sering merasa sangat gelisah tanpa alasan yang jelas.",1
"Aku merasa sangat kesepian meskipun ada orang di sekitarku.",1
"Aku merasa sangat tidak nyaman di tempat umum.",1
"Aku sering merasa sangat tertekan di tempat kerja.",1
"Aku merasa tidak ada yang bisa aku andalkan.",1
"Aku merasa sangat stres setiap hari.",1
"Aku sering merasa sangat cemas ketika harus berinteraksi dengan orang lain.",1
"Aku merasa sangat putus asa tentang masa depan.",1
"Aku merasa seperti semua orang membenciku.",1
"Aku sering merasa sangat takut tanpa alasan yang jelas.",1
"Aku merasa seperti tidak ada yang peduli padaku.",1
"Aku merasa sangat tertekan ketika sendirian.",1
"Aku merasa sangat cemas tentang kesehatan mentalku.",1
"Aku merasa sangat lelah secara emosional.",1
"Aku merasa sangat khawatir tentang keuangan.",1
"Aku merasa sangat takut kehilangan pekerjaan.",1
"Aku merasa sangat takut akan penolakan.",1
"Aku merasa sangat cemas tentang hubungan sosialku.",1
"Aku merasa sangat tertekan oleh tanggung jawab.",1
"Aku merasa sangat khawatir tentang penampilan fisikku.",1
"Aku merasa sangat takut gagal.",1
"Aku merasa sangat cemas tentang pendidikan anak-anak.",1
"Aku merasa sangat takut menghadapi perubahan.",1
"Aku merasa sangat cemas tentang masa depan anak-anak.",1
"Aku merasa sangat tertekan oleh harapan keluarga.",1
"Aku merasa sangat cemas tentang kesehatan fisikku.",1
"Aku merasa sangat takut akan kegagalan.",1
"Aku merasa sangat cemas tentang pekerjaan rumah.",1
"Aku merasa sangat tertekan oleh pekerjaan.",1
"Aku merasa sangat cemas tentang hubungan keluargaku.",1
"Aku merasa sangat takut kehilangan orang yang aku cintai.",1
"Aku merasa sangat cemas tentang masa depan karirku.",1
"Aku merasa sangat tertekan oleh beban kerja.",1
"Aku merasa sangat cemas tentang performa kerjaku.",1
"Aku merasa sangat takut akan perubahan dalam hidupku.",1
"Aku merasa sangat cemas tentang masa depan pernikahanku.",1
"Aku merasa sangat tertekan oleh ekspektasi sosial.",1
"Aku merasa sangat cemas tentang kesehatan orang tuaku.",1
"Aku merasa sangat takut kehilangan kendali.",1
"Aku merasa sangat cemas tentang masa depan ekonomiku.",1
"Aku merasa sangat tertekan oleh standar kecantikan.",1
"Aku merasa sangat cemas tentang penilaian orang lain.",1
